index,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,variance,AUC,
4778,3,2,0,-4,0,3,4,5,4,6,4,-4,-3,0,10.24489796,0.993304296,[0.992242590573-0.994366002077]
4820,3,2,0,-2,-1,3,4,5,4,6,4,-4,-3,0,9.25,0.993304296,[0.992242590573-0.994366002077]
4830,3,2,0,-3,-1,3,4,5,4,6,4,-4,-3,0,9.816326531,0.993304296,[0.992242590573-0.994366002077]
4832,3,2,0,-4,-1,3,4,5,4,6,4,-4,-3,0,10.51530612,0.993304296,[0.992242590573-0.994366002077]
4846,3,2,0,-3,-2,3,4,5,4,6,4,-4,-3,0,10.22959184,0.993304296,[0.992242590573-0.994366002077]
4848,3,2,0,-4,-2,3,4,5,4,6,4,-4,-3,0,10.91836735,0.993304296,[0.992242590573-0.994366002077]
4850,3,2,0,-4,-3,3,4,5,4,6,4,-4,-3,0,11.45408163,0.993304296,[0.992242590573-0.994366002077]
2379,2,1,0,-1,0,3,5,6,5,7,5,-5,-2,0,11.12244898,0.993304225,[0.992146921860-0.994461527143]
4145,2,1,0,-2,0,3,5,6,5,7,5,-5,-2,0,11.59693878,0.993304225,[0.992146921860-0.994461527143]
4157,2,1,0,-3,0,3,5,6,5,7,5,-5,-2,0,12.20408163,0.993304225,[0.992146921860-0.994461527143]
4158,2,1,0,-4,0,3,5,6,5,7,5,-5,-2,0,12.94387755,0.993304225,[0.992146921860-0.994461527143]
4159,2,1,0,-5,0,3,5,6,5,7,5,-5,-2,0,13.81632653,0.993304225,[0.992146921860-0.994461527143]
4477,2,1,0,-2,-1,3,5,6,5,7,5,-5,-2,0,11.91836735,0.993304225,[0.992146921860-0.994461527143]
4489,2,1,0,-3,-1,3,5,6,5,7,5,-5,-2,0,12.51530612,0.993304225,[0.992146921860-0.994461527143]
4490,2,1,0,-4,-1,3,5,6,5,7,5,-5,-2,0,13.24489796,0.993304225,[0.992146921860-0.994461527143]
4491,2,1,0,-5,-1,3,5,6,5,7,5,-5,-2,0,14.10714286,0.993304225,[0.992146921860-0.994461527143]
4510,2,1,0,-3,-2,3,5,6,5,7,5,-5,-2,0,12.95918367,0.993304225,[0.992146921860-0.994461527143]
4511,2,1,0,-4,-2,3,5,6,5,7,5,-5,-2,0,13.67857143,0.993304225,[0.992146921860-0.994461527143]
4512,2,1,0,-5,-2,3,5,6,5,7,5,-5,-2,0,14.53061224,0.993304225,[0.992146921860-0.994461527143]
4521,2,1,0,-4,-3,3,5,6,5,7,5,-5,-2,0,14.24489796,0.993304225,[0.992146921860-0.994461527143]
4522,2,1,0,-5,-3,3,5,6,5,7,5,-5,-2,0,15.08673469,0.993304225,[0.992146921860-0.994461527143]
4528,2,1,0,-5,-4,3,5,6,5,7,5,-5,-2,0,15.7755102,0.993304225,[0.992146921860-0.994461527143]
861,2,1,0,-1,0,3,4,5,4,6,4,-4,0,1,6.882653061,0.993295128,[0.992137427313-0.994452828625]
946,2,1,0,-2,0,3,4,5,4,6,4,-4,0,1,7.346938776,0.993295128,[0.992137427313-0.994452828625]
948,2,1,0,-3,0,3,4,5,4,6,4,-4,0,1,7.943877551,0.993295128,[0.992137427313-0.994452828625]
950,2,1,0,-4,0,3,4,5,4,6,4,-4,0,1,8.673469388,0.993295128,[0.992137427313-0.994452828625]
952,2,1,0,-2,-1,3,4,5,4,6,4,-4,0,1,7.658163265,0.993295128,[0.992137427313-0.994452828625]
954,2,1,0,-3,-1,3,4,5,4,6,4,-4,0,1,8.244897959,0.993295128,[0.992137427313-0.994452828625]
956,2,1,0,-3,-2,3,4,5,4,6,4,-4,0,1,8.678571429,0.993295128,[0.992137427313-0.994452828625]
958,2,1,0,-4,-1,3,4,5,4,6,4,-4,0,1,8.964285714,0.993295128,[0.992137427313-0.994452828625]
959,2,1,0,-4,-2,3,4,5,4,6,4,-4,0,1,9.387755102,0.993295128,[0.992137427313-0.994452828625]
960,2,1,0,-4,-3,3,4,5,4,6,4,-4,0,1,9.943877551,0.993295128,[0.992137427313-0.994452828625]
2360,2,1,0,-1,0,3,4,6,5,7,5,-5,-1,0,10.26530612,0.993295128,[0.992137427313-0.994452828625]
4076,2,1,0,-2,0,3,4,6,5,7,5,-5,-1,0,10.73979592,0.993295128,[0.992137427313-0.994452828625]
4104,2,1,0,-3,0,3,4,6,5,7,5,-5,-1,0,11.34693878,0.993295128,[0.992137427313-0.994452828625]
4105,2,1,0,-4,0,3,4,6,5,7,5,-5,-1,0,12.08673469,0.993295128,[0.992137427313-0.994452828625]
4106,2,1,0,-5,0,3,4,6,5,7,5,-5,-1,0,12.95918367,0.993295128,[0.992137427313-0.994452828625]
4309,2,1,0,-2,-1,3,4,6,5,7,5,-5,-1,0,11.06122449,0.993295128,[0.992137427313-0.994452828625]
4337,2,1,0,-3,-1,3,4,6,5,7,5,-5,-1,0,11.65816327,0.993295128,[0.992137427313-0.994452828625]
4338,2,1,0,-4,-1,3,4,6,5,7,5,-5,-1,0,12.3877551,0.993295128,[0.992137427313-0.994452828625]
4339,2,1,0,-5,-1,3,4,6,5,7,5,-5,-1,0,13.25,0.993295128,[0.992137427313-0.994452828625]
4391,2,1,0,-3,-2,3,4,6,5,7,5,-5,-1,0,12.10204082,0.993295128,[0.992137427313-0.994452828625]
4392,2,1,0,-4,-2,3,4,6,5,7,5,-5,-1,0,12.82142857,0.993295128,[0.992137427313-0.994452828625]
4393,2,1,0,-5,-2,3,4,6,5,7,5,-5,-1,0,13.67346939,0.993295128,[0.992137427313-0.994452828625]
4403,2,1,0,-4,-3,3,4,6,5,7,5,-5,-1,0,13.3877551,0.993295128,[0.992137427313-0.994452828625]
4404,2,1,0,-5,-3,3,4,6,5,7,5,-5,-1,0,14.22959184,0.993295128,[0.992137427313-0.994452828625]
4411,2,1,0,-5,-4,3,4,6,5,7,5,-5,-1,0,14.91836735,0.993295128,[0.992137427313-0.994452828625]
2335,2,1,0,-1,0,3,4,5,4,6,4,-4,-1,1,7.204081633,0.993282418,[0.992124613577-0.994440221658]
2361,2,1,0,-1,0,3,4,6,5,7,5,-5,-2,0,10.73979592,0.993282418,[0.992124613577-0.994440221658]
4015,2,1,0,-2,0,3,4,5,4,6,4,-4,-1,1,7.658163265,0.993282418,[0.992124613577-0.994440221658]
4024,2,1,0,-3,0,3,4,5,4,6,4,-4,-1,1,8.244897959,0.993282418,[0.992124613577-0.994440221658]
4027,2,1,0,-4,0,3,4,5,4,6,4,-4,-1,1,8.964285714,0.993282418,[0.992124613577-0.994440221658]
4077,2,1,0,-2,0,3,4,6,5,7,5,-5,-2,0,11.20408163,0.993282418,[0.992124613577-0.994440221658]
4107,2,1,0,-3,0,3,4,6,5,7,5,-5,-2,0,11.80102041,0.993282418,[0.992124613577-0.994440221658]
4108,2,1,0,-4,0,3,4,6,5,7,5,-5,-2,0,12.53061224,0.993282418,[0.992124613577-0.994440221658]
4109,2,1,0,-5,0,3,4,6,5,7,5,-5,-2,0,13.39285714,0.993282418,[0.992124613577-0.994440221658]
4194,2,1,0,-2,-1,3,4,5,4,6,4,-4,-1,1,7.959183673,0.993282418,[0.992124613577-0.994440221658]
4203,2,1,0,-3,-1,3,4,5,4,6,4,-4,-1,1,8.535714286,0.993282418,[0.992124613577-0.994440221658]
4206,2,1,0,-4,-1,3,4,5,4,6,4,-4,-1,1,9.244897959,0.993282418,[0.992124613577-0.994440221658]
