Candidate	Score
Solution 259	0.9934064952 [0.992491036362-0.994321953949]
Solution 260	0.9944131890 [0.993506804336-0.995319573687]
Solution 261	0.9955833245 [0.994855389274-0.996311259688]
Solution 262	0.9957407528 [0.995013968438-0.996467537102]
Solution 263	0.9954572033 [0.994725171156-0.996189235445]
Solution 264	0.9956187699 [0.994887812743-0.996349727145]
Solution 265	0.9957407528 [0.995013968438-0.996467537102]
Solution 266	0.9957407528 [0.995013968438-0.996467537102]
Solution 267	0.9943459067 [0.993438769444-0.995253043936]
Solution 268	0.9956187699 [0.994887812743-0.996349727145]
Solution 269	0.9956187699 [0.994887812743-0.996349727145]
Solution 270	0.9958000136 [0.995074143496-0.996525883700]
Solution 271	0.9958000136 [0.995074143496-0.996525883700]
Solution 272	0.9958000136 [0.995074143496-0.996525883700]
Solution 273	0.9934064128 [0.992490952048-0.994321873542]
Solution 274	0.9944129379 [0.993506549793-0.995319325934]
Solution 275	0.9957367364 [0.995009920651-0.996463552210]
Solution 276	0.9956145187 [0.994883529357-0.996345508093]
Solution 277	0.9957367364 [0.995009920651-0.996463552210]
Solution 278	0.9957367364 [0.995009920651-0.996463552210]
Solution 279	0.9943418904 [0.993434730265-0.995249050437]
Solution 280	0.9956145187 [0.994883529357-0.996345508093]
Solution 281	0.9956145187 [0.994883529357-0.996345508093]
Solution 282	0.9956175437 [0.994890441736-0.996344645643]
Solution 283	0.9956175437 [0.994890441736-0.996344645643]
Solution 284	0.9956175437 [0.994890441736-0.996344645643]
Solution 285	0.9934067127 [0.992491334840-0.994322090658]
Solution 286	0.9942405129 [0.993333297117-0.995147728621]
Solution 287	0.9956177531 [0.994890512198-0.996344994100]
Solution 288	0.9956169112 [0.994889634227-0.996344188259]
Solution 289	0.9956260858 [0.994899004321-0.996353167242]
Solution 290	0.9958014391 [0.995075627123-0.996527251166]
Solution 291	0.9958011860 [0.995075369386-0.996527002539]
Solution 292	0.9956244681 [0.994897323248-0.996351612874]
Solution 293	0.9956267020 [0.994899632958-0.996353770961]
Solution 294	0.9958037046 [0.995077847037-0.996529562089]
Solution 295	0.9958036354 [0.995077775487-0.996529495355]
Solution 296	0.9958059385 [0.995080157012-0.996531719909]
Solution 297	0.9958003491 [0.995074486101-0.996526212179]
Solution 298	0.9958058693 [0.995080085547-0.996531653091]
Solution 299	0.9958002647 [0.995074399076-0.996526130417]
Solution 300	0.9958000136 [0.995074143496-0.996525883700]
Solution 301	0.9956177531 [0.994890512198-0.996344994100]
Solution 302	0.9956177531 [0.994890512198-0.996344994100]
Solution 303	0.9956169112 [0.994889634227-0.996344188259]
Solution 304	0.9956169112 [0.994889634227-0.996344188259]
Solution 305	0.9934049293 [0.992489495495-0.994320363087]
Solution 306	0.9934039023 [0.992488438874-0.994319365783]
Solution 307	0.9942404874 [0.993333159282-0.995147815617]
Solution 308	0.9942396455 [0.993332289064-0.995147002023]
