Candidate	Score
Solution 162	0.9952780126 [0.994545881828-0.996010143282]
Solution 163	0.9954593325 [0.994729564101-0.996189100836]
Solution 164	0.9954486470 [0.994718781115-0.996178512831]
Solution 165	0.9953543860 [0.994620667101-0.996088104974]
Solution 166	0.9954453160 [0.994713252334-0.996177379573]
Solution 167	0.9955975932 [0.994866271544-0.996328914777]
Solution 168	0.9955857841 [0.994854279571-0.996317288644]
Solution 169	0.9951533830 [0.994417145756-0.995889620268]
Solution 170	0.9948085188 [0.994064996736-0.995552040841]
Solution 171	0.9953409603 [0.994606974797-0.996074945764]
Solution 172	0.9953243093 [0.994590118725-0.996058499776]
Solution 173	0.9952573696 [0.994520954382-0.995993784795]
Solution 174	0.9952384430 [0.994501724508-0.995975161436]
Solution 175	0.9954964841 [0.994767253250-0.996225714976]
Solution 176	0.9954964841 [0.994767253250-0.996225714976]
Solution 177	0.9941077795 [0.993198961881-0.995016597065]
Solution 178	0.9955777158 [0.994849862459-0.996305569223]
Solution 179	0.9957237357 [0.994996780418-0.996450690969]
Solution 180	0.9957237357 [0.994996780418-0.996450690969]
Solution 181	0.9957178922 [0.994990865204-0.996444919145]
Solution 182	0.9957178922 [0.994990865204-0.996444919145]
Solution 183	0.9952780126 [0.994545881828-0.996010143282]
Solution 184	0.9954593325 [0.994729564101-0.996189100836]
Solution 185	0.9954593325 [0.994729564101-0.996189100836]
Solution 186	0.9954486470 [0.994718781115-0.996178512831]
Solution 187	0.9954486470 [0.994718781115-0.996178512831]
Solution 188	0.9955777158 [0.994849862459-0.996305569223]
Solution 189	0.9957237357 [0.994996780418-0.996450690969]
Solution 190	0.9957237357 [0.994996780418-0.996450690969]
Solution 191	0.9957178922 [0.994990865204-0.996444919145]
Solution 192	0.9957178922 [0.994990865204-0.996444919145]
Solution 193	0.9952780126 [0.994545881828-0.996010143282]
Solution 194	0.9954593325 [0.994729564101-0.996189100836]
Solution 195	0.9954593325 [0.994729564101-0.996189100836]
Solution 196	0.9954486470 [0.994718781115-0.996178512831]
Solution 197	0.9954486470 [0.994718781115-0.996178512831]
Solution 198	0.9957237357 [0.994996780418-0.996450690969]
Solution 199	0.9957178922 [0.994990865204-0.996444919145]
Solution 200	0.9954593325 [0.994729564101-0.996189100836]
Solution 201	0.9954486470 [0.994718781115-0.996178512831]
Solution 202	0.9941827325 [0.993274831062-0.995090633926]
Solution 203	0.9943349334 [0.993427802085-0.995242064798]
Solution 204	0.9943349334 [0.993427802085-0.995242064798]
Solution 205	0.9943293248 [0.993422141799-0.995236507805]
Solution 206	0.9943293248 [0.993422141799-0.995236507805]
Solution 207	0.9939162753 [0.993005497593-0.994827053094]
Solution 208	0.9941037764 [0.993194906708-0.995012645997]
Solution 209	0.9941037764 [0.993194906708-0.995012645997]
Solution 210	0.9940933257 [0.993184387314-0.995002264159]
Solution 211	0.9940933257 [0.993184387314-0.995002264159]
Solution 212	0.9943349334 [0.993427802085-0.995242064798]
Solution 213	0.9943293248 [0.993422141799-0.995236507805]
Solution 214	0.9941037764 [0.993194906708-0.995012645997]
Solution 215	0.9940933257 [0.993184387314-0.995002264159]
Solution 216	0.9953543860 [0.994620667101-0.996088104974]
Solution 217	0.9953543860 [0.994620667101-0.996088104974]
Solution 218	0.9954453160 [0.994713252334-0.996177379573]
Solution 219	0.9955975932 [0.994866271544-0.996328914777]
Solution 220	0.9955975932 [0.994866271544-0.996328914777]
Solution 221	0.9955857841 [0.994854279571-0.996317288644]
Solution 222	0.9955857841 [0.994854279571-0.996317288644]
Solution 223	0.9951533830 [0.994417145756-0.995889620268]
Solution 224	0.9948085188 [0.994064996736-0.995552040841]
Solution 225	0.9953409603 [0.994606974797-0.996074945764]
Solution 226	0.9953409603 [0.994606974797-0.996074945764]
Solution 227	0.9953243093 [0.994590118725-0.996058499776]
Solution 228	0.9953243093 [0.994590118725-0.996058499776]
Solution 229	0.9952573696 [0.994520954382-0.995993784795]
Solution 230	0.9952573696 [0.994520954382-0.995993784795]
Solution 231	0.9952384430 [0.994501724508-0.995975161436]
Solution 232	0.9952384430 [0.994501724508-0.995975161436]
Solution 233	0.9954453160 [0.994713252334-0.996177379573]
Solution 234	0.9951533830 [0.994417145756-0.995889620268]
Solution 235	0.9948085188 [0.994064996736-0.995552040841]
Solution 236	0.9955975932 [0.994866271544-0.996328914777]
Solution 237	0.9953409603 [0.994606974797-0.996074945764]
Solution 238	0.9952573696 [0.994520954382-0.995993784795]
Solution 239	0.9955857841 [0.994854279571-0.996317288644]
Solution 240	0.9953243093 [0.994590118725-0.996058499776]
Solution 241	0.9952384430 [0.994501724508-0.995975161436]
